['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-687.0', '-348.25', '1107.0']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.26'], ['-686.25', '-348.0', '1105.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.25', '-348.5', '1107.5']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
['1', ['36.25', '10.25'], ['-686.5', '-348.5', '1105.75']]
