['1', ['29.0', '15.96'], ['138.0', '-69.0', '606.0']]
['1', ['29.0', '14.28'], ['106.25', '-24.0', '528.5']]
['1', ['29.0', '14.28'], ['106.25', '-24.0', '528.5']]
['1', ['29.0', '14.28'], ['106.25', '-24.0', '528.5']]
['1', ['29.0', '14.28'], ['106.25', '-24.0', '528.5']]
['1', ['29.0', '14.28'], ['106.25', '-24.0', '528.5']]
['1', ['29.0', '14.28'], ['106.25', '-24.0', '528.5']]
['1', ['29.0', '14.28'], ['106.25', '-24.0', '528.5']]
['1', ['29.0', '14.28'], ['106.25', '-24.0', '528.5']]
['1', ['29.0', '14.28'], ['106.25', '-24.0', '528.5']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.18'], ['132.0', '-35.25', '538.25']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.17'], ['200.5', '-86.25', '555.0']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.06'], ['226.75', '-125.5', '571.5']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.26'], ['309.25', '-197.5', '607.75']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.37'], ['320.5', '-195.75', '622.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.13'], ['360.5', '-64.25', '698.0']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.15'], ['399.5', '-93.5', '723.5']]
['1', ['29.0', '14.67'], ['523.75', '-393.5', '762.25']]
['1', ['29.0', '14.67'], ['523.75', '-393.5', '762.25']]
['1', ['29.0', '14.67'], ['523.75', '-393.5', '762.25']]
['1', ['29.0', '14.67'], ['523.75', '-393.5', '762.25']]
['1', ['29.0', '14.67'], ['523.75', '-393.5', '762.25']]
['1', ['29.0', '14.67'], ['523.75', '-393.5', '762.25']]
