['1', ['36.25', '14.5'], ['168.0', '449.0', '564.0']]
['1', ['36.25', '14.5'], ['167.0', '446.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '446.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '446.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '446.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '446.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '446.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '446.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '446.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '446.0', '565.0']]
['1', ['36.25', '14.5'], ['166.0', '449.0', '564.0']]
['1', ['36.25', '14.5'], ['166.0', '449.0', '564.0']]
['1', ['36.25', '14.5'], ['166.0', '449.0', '564.0']]
['1', ['36.25', '14.5'], ['166.0', '449.0', '564.0']]
['1', ['36.25', '14.5'], ['166.0', '449.0', '564.0']]
['1', ['36.25', '14.5'], ['166.0', '449.0', '564.0']]
['1', ['36.25', '14.5'], ['166.0', '449.0', '564.0']]
['1', ['36.25', '14.5'], ['166.0', '449.0', '564.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['167.0', '445.0', '565.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '562.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '563.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '563.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '563.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '563.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '563.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '563.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '563.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '563.0']]
['1', ['36.25', '14.5'], ['166.0', '447.0', '563.0']]
['1', ['36.25', '14.5'], ['169.0', '457.0', '563.0']]
['1', ['36.25', '14.5'], ['169.0', '457.0', '563.0']]
['1', ['36.25', '14.5'], ['169.0', '457.0', '563.0']]
['1', ['36.25', '14.5'], ['169.0', '457.0', '563.0']]
['1', ['36.25', '14.5'], ['169.0', '457.0', '563.0']]
['1', ['36.25', '14.5'], ['169.0', '457.0', '563.0']]
['1', ['36.25', '14.5'], ['169.0', '457.0', '563.0']]
['1', ['36.25', '14.5'], ['169.0', '457.0', '563.0']]
['1', ['36.25', '14.5'], ['195.0', '471.0', '561.0']]
['1', ['36.25', '14.5'], ['195.0', '471.0', '561.0']]
['1', ['36.25', '14.5'], ['195.0', '471.0', '561.0']]
['1', ['36.25', '14.5'], ['195.0', '471.0', '561.0']]
['1', ['36.25', '14.5'], ['195.0', '471.0', '561.0']]
['1', ['36.25', '14.5'], ['195.0', '471.0', '561.0']]
['1', ['36.25', '14.5'], ['195.0', '471.0', '561.0']]
['1', ['36.25', '14.5'], ['195.0', '471.0', '561.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '14.5'], ['305.0', '575.0', '555.0']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.54'], ['443.0', '-1123.5', '378.5']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.57'], ['442.0', '-1105.5', '378.0']]
['1', ['36.25', '12.51'], ['451.5', '-1093.5', '383.5']]
['1', ['36.25', '12.51'], ['451.5', '-1093.5', '383.5']]
['1', ['36.25', '12.51'], ['451.5', '-1093.5', '383.5']]
['1', ['36.25', '12.51'], ['451.5', '-1093.5', '383.5']]
['1', ['36.25', '12.51'], ['451.5', '-1093.5', '383.5']]
['1', ['36.25', '12.51'], ['451.5', '-1093.5', '383.5']]
['1', ['36.25', '12.51'], ['451.5', '-1093.5', '383.5']]
['1', ['36.25', '12.51'], ['451.5', '-1093.5', '383.5']]
