['1', ['30.69', '14.5'], ['-247.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-247.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-247.5', '73.5', '616.5']]
['1', ['30.68', '14.5'], ['-249.5', '72.5', '616.5']]
['1', ['30.68', '14.5'], ['-249.5', '72.5', '616.5']]
['1', ['30.68', '14.5'], ['-249.5', '72.5', '616.5']]
['1', ['30.68', '14.5'], ['-249.5', '72.5', '616.5']]
['1', ['30.68', '14.5'], ['-249.5', '72.5', '616.5']]
['1', ['30.68', '14.5'], ['-249.5', '72.5', '616.5']]
['1', ['30.68', '14.5'], ['-249.5', '72.5', '616.5']]
['1', ['30.68', '14.5'], ['-249.5', '72.5', '616.5']]
['1', ['30.68', '14.5'], ['-249.5', '72.5', '616.5']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-248.0', '74.0', '616.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.69', '14.5'], ['-246.5', '75.0', '617.0']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.7', '14.5'], ['-246.5', '73.0', '617.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.69', '14.5'], ['-245.5', '73.5', '616.5']]
['1', ['30.67', '14.5'], ['-179.5', '60.5', '622.5']]
['1', ['30.67', '14.5'], ['-179.5', '60.5', '622.5']]
['1', ['30.67', '14.5'], ['-179.5', '60.5', '622.5']]
['1', ['30.67', '14.5'], ['-179.5', '60.5', '622.5']]
['1', ['30.67', '14.5'], ['-179.5', '60.5', '622.5']]
['1', ['30.67', '14.5'], ['-179.5', '60.5', '622.5']]
['1', ['30.67', '14.5'], ['-179.5', '60.5', '622.5']]
['1', ['30.67', '14.5'], ['-179.5', '60.5', '622.5']]
['1', ['30.85', '14.5'], ['72.5', '58.5', '624.0']]
['1', ['30.0', '14.5'], ['-320.0', '324.5', '2011.0']]
['1', ['29.71', '14.5'], ['-29.0', '4757.5', '2877.5']]
['1', ['30.21', '14.5'], ['630.5', '3164.0', '1411.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
